,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
0,0,1753620611029458,-58,128,3C:6A:D2:84:AD:40,0,22576,2ae0,0,43455c0,
1,1,1753620611131929,-58,128,3C:6A:D2:84:AD:40,0,22592,2ae0,0,43455c0,
2,2,1753620611234240,-57,128,3C:6A:D2:84:AD:40,0,22608,2ae0,0,43455c0,-57.666666666666664
3,3,1753620611336627,-56,128,3C:6A:D2:84:AD:40,0,22624,2ae0,0,43455c0,-57.0
4,4,1753620611439012,-57,128,3C:6A:D2:84:AD:40,0,22640,2ae0,0,43455c0,-56.666666666666664
5,5,1753620611541430,-58,128,3C:6A:D2:84:AD:40,0,22656,2ae0,0,43455c0,-57.0
6,6,1753620611644028,-58,128,3C:6A:D2:84:AD:40,0,22672,2ae0,0,43455c0,-57.666666666666664
7,7,1753620611746472,-59,128,3C:6A:D2:84:AD:40,0,22688,2ae0,0,43455c0,-58.333333333333336
8,8,1753620611848917,-58,128,3C:6A:D2:84:AD:40,0,22704,2ae0,0,43455c0,-58.333333333333336
9,9,1753620611951296,-59,128,3C:6A:D2:84:AD:40,0,22720,2ae0,0,43455c0,-58.666666666666664
10,10,1753620612055729,-58,128,3C:6A:D2:84:AD:40,0,22736,2ae0,0,43455c0,-58.333333333333336
11,11,1753620612156089,-59,128,3C:6A:D2:84:AD:40,0,22752,2ae0,0,43455c0,-58.666666666666664
12,12,1753620612258481,-59,128,3C:6A:D2:84:AD:40,0,22768,2ae0,0,43455c0,-58.666666666666664
13,13,1753620612360926,-59,128,3C:6A:D2:84:AD:40,0,22784,2ae0,0,43455c0,-59.0
14,14,1753620612463281,-60,128,3C:6A:D2:84:AD:40,0,22800,2ae0,0,43455c0,-59.333333333333336
15,15,1753620612565682,-58,128,3C:6A:D2:84:AD:40,0,22816,2ae0,0,43455c0,-59.0
16,16,1753620612668321,-59,128,3C:6A:D2:84:AD:40,0,22832,2ae0,0,43455c0,-59.0
17,17,1753620612770443,-58,128,3C:6A:D2:84:AD:40,0,22848,2ae0,0,43455c0,-58.333333333333336
18,18,1753620612874821,-58,128,3C:6A:D2:84:AD:40,0,22864,2ae0,0,43455c0,-58.333333333333336
19,19,1753620612975287,-59,128,3C:6A:D2:84:AD:40,0,22880,2ae0,0,43455c0,-58.333333333333336
20,20,1753620613077693,-58,128,3C:6A:D2:84:AD:40,0,22896,2ae0,0,43455c0,-58.333333333333336
21,21,1753620613180103,-59,128,3C:6A:D2:84:AD:40,0,22912,2ae0,0,43455c0,-58.666666666666664
22,22,1753620613282510,-58,128,3C:6A:D2:84:AD:40,0,22928,2ae0,0,43455c0,-58.333333333333336
23,23,1753620613383791,-59,128,3C:6A:D2:84:AD:40,0,22944,2ae0,0,43455c0,-58.666666666666664
24,24,1753620613486274,-56,128,3C:6A:D2:84:AD:40,0,22960,2ae0,0,43455c0,-57.666666666666664
25,25,1753620613588770,-56,128,3C:6A:D2:84:AD:40,0,22976,2ae0,0,43455c0,-57.0
26,26,1753620613617427,-56,8,3C:6A:D2:84:AD:40,0,10624,2ae0,0,43455c0,-56.0
27,27,1753620613692111,-56,128,3C:6A:D2:84:AD:40,0,22992,2ae0,0,43455c0,-56.0
28,28,1753620613794479,-54,128,3C:6A:D2:84:AD:40,0,23008,2ae0,0,43455c0,-55.333333333333336
29,29,1753620613897000,-52,128,3C:6A:D2:84:AD:40,0,23024,2ae0,0,43455c0,-54.0
30,30,1753620613926225,-51,80,3C:6A:D2:84:AD:40,0,23040,2ae0,0,43455c0,-52.333333333333336
31,31,1753620613928665,-51,80,3C:6A:D2:84:AD:40,0,23072,2ae0,0,43455c0,-51.333333333333336
32,32,1753620613929233,-51,80,3C:6A:D2:84:AD:40,0,23104,2ae0,0,43455c0,-51.0
33,33,1753620613930813,-52,80,3C:6A:D2:84:AD:40,0,23136,2ae0,0,43455c0,-51.333333333333336
34,34,1753620613999341,-53,128,3C:6A:D2:84:AD:40,0,23168,2ae0,0,43455c0,-52.0
35,35,1753620614101681,-50,128,3C:6A:D2:84:AD:40,0,23184,2ae0,0,43455c0,-51.666666666666664
36,36,1753620614159146,-50,80,3C:6A:D2:84:AD:40,0,23200,2ae0,0,43455c0,-51.0
37,37,1753620614204111,-50,128,3C:6A:D2:84:AD:40,0,23232,2ae0,0,43455c0,-50.0
38,38,1753620614306480,-53,128,3C:6A:D2:84:AD:40,0,23248,2ae0,0,43455c0,-51.0
39,39,1753620614408981,-55,128,3C:6A:D2:84:AD:40,0,23264,2ae0,0,43455c0,-52.666666666666664
40,40,1753620614511308,-58,128,3C:6A:D2:84:AD:40,0,23280,2ae0,0,43455c0,-55.333333333333336
41,41,1753620614613726,-60,128,3C:6A:D2:84:AD:40,0,23296,2ae0,0,43455c0,-57.666666666666664
42,42,1753620614716126,-62,128,3C:6A:D2:84:AD:40,0,23312,2ae0,0,43455c0,-60.0
43,43,1753620614818496,-63,128,3C:6A:D2:84:AD:40,0,23328,2ae0,0,43455c0,-61.666666666666664
44,44,1753620614920941,-61,128,3C:6A:D2:84:AD:40,0,23344,2ae0,0,43455c0,-62.0
45,45,1753620615023325,-60,128,3C:6A:D2:84:AD:40,0,23360,2ae0,0,43455c0,-61.333333333333336
46,46,1753620615127790,-59,128,3C:6A:D2:84:AD:40,0,23376,2ae0,0,43455c0,-60.0
47,47,1753620615228267,-59,128,3C:6A:D2:84:AD:40,0,23392,2ae0,0,43455c0,-59.333333333333336
48,48,1753620615330472,-60,128,3C:6A:D2:84:AD:40,0,23408,2ae0,0,43455c0,-59.333333333333336
49,49,1753620615536044,-56,128,3C:6A:D2:84:AD:40,0,23440,2ae0,0,43455c0,-58.333333333333336
50,50,1753620615637732,-61,128,3C:6A:D2:84:AD:40,0,23456,2ae0,0,43455c0,-59.0
51,51,1753620615740145,-59,128,3C:6A:D2:84:AD:40,0,23472,2ae0,0,43455c0,-58.666666666666664
52,52,1753620615841446,-56,128,3C:6A:D2:84:AD:40,0,23488,2ae0,0,43455c0,-58.666666666666664
53,53,1753620615943868,-56,128,3C:6A:D2:84:AD:40,0,23504,2ae0,0,43455c0,-57.0
54,54,1753620616046308,-56,128,3C:6A:D2:84:AD:40,0,23520,2ae0,0,43455c0,-56.0
55,55,1753620616148822,-55,128,3C:6A:D2:84:AD:40,0,23536,2ae0,0,43455c0,-55.666666666666664
56,56,1753620616254207,-55,128,3C:6A:D2:84:AD:40,0,23552,2ae0,0,43455c0,-55.333333333333336
57,57,1753620616354509,-54,128,3C:6A:D2:84:AD:40,0,23568,2ae0,0,43455c0,-54.666666666666664
58,58,1753620616457001,-56,128,3C:6A:D2:84:AD:40,0,23584,2ae0,0,43455c0,-55.0
59,59,1753620616559386,-55,128,3C:6A:D2:84:AD:40,0,23600,2ae0,0,43455c0,-55.0
60,60,1753620616622445,-55,8,3C:6A:D2:84:AD:40,0,10640,2ae0,0,43455c0,-55.333333333333336
61,61,1753620616661769,-56,128,3C:6A:D2:84:AD:40,0,23616,2ae0,0,43455c0,-55.333333333333336
62,62,1753620616764133,-56,128,3C:6A:D2:84:AD:40,0,23632,2ae0,0,43455c0,-55.666666666666664
63,63,1753620616868607,-58,128,3C:6A:D2:84:AD:40,0,23648,2ae0,0,43455c0,-56.666666666666664
64,64,1753620616968968,-57,128,3C:6A:D2:84:AD:40,0,23664,2ae0,0,43455c0,-57.0
65,65,1753620617071360,-57,128,3C:6A:D2:84:AD:40,0,23680,2ae0,0,43455c0,-57.333333333333336
66,66,1753620617173728,-58,128,3C:6A:D2:84:AD:40,0,23696,2ae0,0,43455c0,-57.333333333333336
67,67,1753620617276186,-56,128,3C:6A:D2:84:AD:40,0,23712,2ae0,0,43455c0,-57.0
68,68,1753620617378565,-60,128,3C:6A:D2:84:AD:40,0,23728,2ae0,0,43455c0,-58.0
