,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
0,0,1750558885142568,-53,128,3C:6A:D2:84:AD:40,0,6400,2ae0,0,43455c0,
1,1,1750558885236299,-53,128,3C:6A:D2:84:AD:40,0,6416,2ae0,0,43455c0,
2,2,1750558885338367,-53,128,3C:6A:D2:84:AD:40,0,6432,2ae0,0,43455c0,-53.0
3,3,1750558885440774,-52,128,3C:6A:D2:84:AD:40,0,6448,2ae0,0,43455c0,-52.666666666666664
4,4,1750558885506833,-52,8,3C:6A:D2:84:AD:40,0,40320,2ae0,0,43455c0,-52.333333333333336
5,5,1750558885543162,-52,128,3C:6A:D2:84:AD:40,0,6464,2ae0,0,43455c0,-52.0
6,6,1750558885555821,-53,8,3C:6A:D2:84:AD:40,0,40336,2ae0,0,43455c0,-52.333333333333336
7,7,1750558885645571,-53,128,3C:6A:D2:84:AD:40,0,6480,2ae0,0,43455c0,-52.666666666666664
8,8,1750558885747951,-54,128,3C:6A:D2:84:AD:40,0,6496,2ae0,0,43455c0,-53.333333333333336
9,9,1750558885850360,-54,128,3C:6A:D2:84:AD:40,0,6512,2ae0,0,43455c0,-53.666666666666664
10,10,1750558885952877,-53,128,3C:6A:D2:84:AD:40,0,6528,2ae0,0,43455c0,-53.666666666666664
11,11,1750558885953418,-53,8,3C:6A:D2:84:AD:40,0,40352,2ae0,0,43455c0,-53.333333333333336
12,12,1750558886055425,-54,128,3C:6A:D2:84:AD:40,0,6544,2ae0,0,43455c0,-53.333333333333336
13,13,1750558886157796,-53,128,3C:6A:D2:84:AD:40,0,6560,2ae0,0,43455c0,-53.333333333333336
14,14,1750558886260226,-53,128,3C:6A:D2:84:AD:40,0,6576,2ae0,0,43455c0,-53.333333333333336
15,15,1750558886362118,-53,128,3C:6A:D2:84:AD:40,0,6592,2ae0,0,43455c0,-53.0
16,16,1750558886463925,-53,128,3C:6A:D2:84:AD:40,0,6608,2ae0,0,43455c0,-53.0
17,17,1750558886558946,-53,8,3C:6A:D2:84:AD:40,0,40368,2ae0,0,43455c0,-53.0
18,18,1750558886567380,-53,128,3C:6A:D2:84:AD:40,0,6624,2ae0,0,43455c0,-53.0
19,19,1750558886669386,-53,128,3C:6A:D2:84:AD:40,0,6640,2ae0,0,43455c0,-53.0
20,20,1750558886772219,-53,128,3C:6A:D2:84:AD:40,0,6656,2ae0,0,43455c0,-53.0
21,21,1750558886874576,-51,128,3C:6A:D2:84:AD:40,0,6672,2ae0,0,43455c0,-52.333333333333336
22,22,1750558886977013,-51,128,3C:6A:D2:84:AD:40,0,6688,2ae0,0,43455c0,-51.666666666666664
23,23,1750558887079395,-51,128,3C:6A:D2:84:AD:40,0,6704,2ae0,0,43455c0,-51.0
24,24,1750558887181885,-51,128,3C:6A:D2:84:AD:40,0,6720,2ae0,0,43455c0,-51.0
25,25,1750558887284216,-51,128,3C:6A:D2:84:AD:40,0,6736,2ae0,0,43455c0,-51.0
26,26,1750558887386682,-51,128,3C:6A:D2:84:AD:40,0,6752,2ae0,0,43455c0,-51.0
27,27,1750558887489026,-50,128,3C:6A:D2:84:AD:40,0,6768,2ae0,0,43455c0,-50.666666666666664
28,28,1750558887591391,-50,128,3C:6A:D2:84:AD:40,0,6784,2ae0,0,43455c0,-50.333333333333336
29,29,1750558887693773,-50,128,3C:6A:D2:84:AD:40,0,6800,2ae0,0,43455c0,-50.0
30,30,1750558887795292,-50,128,3C:6A:D2:84:AD:40,0,6816,2ae0,0,43455c0,-50.0
31,31,1750558887898742,-50,128,3C:6A:D2:84:AD:40,0,6832,2ae0,0,43455c0,-50.0
32,32,1750558888001354,-50,128,3C:6A:D2:84:AD:40,0,6848,2ae0,0,43455c0,-50.0
33,33,1750558888103382,-50,128,3C:6A:D2:84:AD:40,0,6864,2ae0,0,43455c0,-50.0
34,34,1750558888205842,-50,128,3C:6A:D2:84:AD:40,0,6880,2ae0,0,43455c0,-50.0
35,35,1750558888308231,-50,128,3C:6A:D2:84:AD:40,0,6896,2ae0,0,43455c0,-50.0
36,36,1750558888410589,-50,128,3C:6A:D2:84:AD:40,0,6912,2ae0,0,43455c0,-50.0
37,37,1750558888512011,-50,128,3C:6A:D2:84:AD:40,0,6928,2ae0,0,43455c0,-50.0
38,38,1750558888615393,-50,128,3C:6A:D2:84:AD:40,0,6944,2ae0,0,43455c0,-50.0
39,39,1750558888717795,-50,128,3C:6A:D2:84:AD:40,0,6960,2ae0,0,43455c0,-50.0
40,40,1750558888820188,-50,128,3C:6A:D2:84:AD:40,0,6976,2ae0,0,43455c0,-50.0
41,41,1750558888922633,-50,128,3C:6A:D2:84:AD:40,0,6992,2ae0,0,43455c0,-50.0
42,42,1750558889025051,-51,128,3C:6A:D2:84:AD:40,0,7008,2ae0,0,43455c0,-50.333333333333336
43,43,1750558889101667,-51,8,3C:6A:D2:84:AD:40,0,40384,2ae0,0,43455c0,-50.666666666666664
44,44,1750558889127405,-51,128,3C:6A:D2:84:AD:40,0,7024,2ae0,0,43455c0,-51.0
45,45,1750558889207100,-51,8,3C:6A:D2:84:AD:40,0,40400,2ae0,0,43455c0,-51.0
46,46,1750558889229301,-50,128,3C:6A:D2:84:AD:40,0,7040,2ae0,0,43455c0,-50.666666666666664
47,47,1750558889310893,-51,8,3C:6A:D2:84:AD:40,0,40416,2ae0,0,43455c0,-50.666666666666664
48,48,1750558889331271,-51,128,3C:6A:D2:84:AD:40,0,7056,2ae0,0,43455c0,-50.666666666666664
49,49,1750558889434566,-51,128,3C:6A:D2:84:AD:40,0,7072,2ae0,0,43455c0,-51.0
50,50,1750558889436149,-51,80,3C:6A:D2:84:AD:40,0,7104,2ae0,0,43455c0,-51.0
51,51,1750558889537033,-51,128,3C:6A:D2:84:AD:40,0,7120,2ae0,0,43455c0,-51.0
52,52,1750558889639482,-51,128,3C:6A:D2:84:AD:40,0,7136,2ae0,0,43455c0,-51.0
53,53,1750558889741818,-51,128,3C:6A:D2:84:AD:40,0,7152,2ae0,0,43455c0,-51.0
54,54,1750558889844307,-51,128,3C:6A:D2:84:AD:40,0,7168,2ae0,0,43455c0,-51.0
55,55,1750558889946641,-51,128,3C:6A:D2:84:AD:40,0,7184,2ae0,0,43455c0,-51.0
56,56,1750558890049069,-51,128,3C:6A:D2:84:AD:40,0,7200,2ae0,0,43455c0,-51.0
57,57,1750558890152996,-51,128,3C:6A:D2:84:AD:40,0,7216,2ae0,0,43455c0,-51.0
58,58,1750558890253883,-51,128,3C:6A:D2:84:AD:40,0,7232,2ae0,0,43455c0,-51.0
59,59,1750558890355214,-51,128,3C:6A:D2:84:AD:40,0,7248,2ae0,0,43455c0,-51.0
60,60,1750558890458633,-51,128,3C:6A:D2:84:AD:40,0,7264,2ae0,0,43455c0,-51.0
61,61,1750558890561026,-51,128,3C:6A:D2:84:AD:40,0,7280,2ae0,0,43455c0,-51.0
62,62,1750558890663465,-51,128,3C:6A:D2:84:AD:40,0,7296,2ae0,0,43455c0,-51.0
63,63,1750558890765853,-51,128,3C:6A:D2:84:AD:40,0,7312,2ae0,0,43455c0,-51.0
64,64,1750558890868313,-50,128,3C:6A:D2:84:AD:40,0,7328,2ae0,0,43455c0,-50.666666666666664
65,65,1750558890970280,-50,128,3C:6A:D2:84:AD:40,0,7344,2ae0,0,43455c0,-50.333333333333336
66,66,1750558891073033,-50,128,3C:6A:D2:84:AD:40,0,7360,2ae0,0,43455c0,-50.0
67,67,1750558891175464,-50,128,3C:6A:D2:84:AD:40,0,7376,2ae0,0,43455c0,-50.0
68,68,1750558891278738,-50,128,3C:6A:D2:84:AD:40,0,7392,2ae0,0,43455c0,-50.0
69,69,1750558891380742,-50,128,3C:6A:D2:84:AD:40,0,7408,2ae0,0,43455c0,-50.0
70,70,1750558891482749,-51,128,3C:6A:D2:84:AD:40,0,7424,2ae0,0,43455c0,-50.333333333333336
71,71,1750558891585045,-50,128,3C:6A:D2:84:AD:40,0,7440,2ae0,0,43455c0,-50.333333333333336
72,72,1750558891687801,-50,128,3C:6A:D2:84:AD:40,0,7456,2ae0,0,43455c0,-50.333333333333336
73,73,1750558891789833,-50,128,3C:6A:D2:84:AD:40,0,7472,2ae0,0,43455c0,-50.0
74,74,1750558891892479,-50,128,3C:6A:D2:84:AD:40,0,7488,2ae0,0,43455c0,-50.0
75,75,1750558891994648,-50,128,3C:6A:D2:84:AD:40,0,7504,2ae0,0,43455c0,-50.0
76,76,1750558892097056,-50,128,3C:6A:D2:84:AD:40,0,7520,2ae0,0,43455c0,-50.0
