,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
0,0,1750558966336717,-47,128,3C:6A:D2:84:AD:40,0,19216,2ae0,0,43455c0,
1,1,1750558966440261,-47,128,3C:6A:D2:84:AD:40,0,19232,2ae0,0,43455c0,
2,2,1750558966522592,-48,8,3C:6A:D2:84:AD:40,0,48784,2ae0,0,43455c0,-47.333333333333336
3,3,1750558966558153,-48,8,3C:6A:D2:84:AD:40,0,48800,2ae0,0,43455c0,-47.666666666666664
4,4,1750558966645025,-47,128,3C:6A:D2:84:AD:40,0,19264,2ae0,0,43455c0,-47.666666666666664
5,5,1750558966656929,-47,8,3C:6A:D2:84:AD:40,0,48816,2ae0,0,43455c0,-47.333333333333336
6,6,1750558966747426,-48,128,3C:6A:D2:84:AD:40,0,19280,2ae0,0,43455c0,-47.333333333333336
7,7,1750558966849799,-48,128,3C:6A:D2:84:AD:40,0,19296,2ae0,0,43455c0,-47.666666666666664
8,8,1750558966907949,-48,8,3C:6A:D2:84:AD:40,0,48832,2ae0,0,43455c0,-48.0
9,9,1750558966951478,-48,128,3C:6A:D2:84:AD:40,0,19312,2ae0,0,43455c0,-48.0
10,10,1750558967020752,-48,8,3C:6A:D2:84:AD:40,0,48848,2ae0,0,43455c0,-48.0
11,11,1750558967054623,-48,128,3C:6A:D2:84:AD:40,0,19328,2ae0,0,43455c0,-48.0
12,12,1750558967157033,-48,128,3C:6A:D2:84:AD:40,0,19344,2ae0,0,43455c0,-48.0
13,13,1750558967158919,-48,8,3C:6A:D2:84:AD:40,0,48864,2ae0,0,43455c0,-48.0
14,14,1750558967259408,-48,128,3C:6A:D2:84:AD:40,0,19360,2ae0,0,43455c0,-48.0
15,15,1750558967270356,-48,8,3C:6A:D2:84:AD:40,0,48880,2ae0,0,43455c0,-48.0
16,16,1750558967359216,-48,8,3C:6A:D2:84:AD:40,0,48896,2ae0,0,43455c0,-48.0
17,17,1750558967361837,-48,128,3C:6A:D2:84:AD:40,0,19376,2ae0,0,43455c0,-48.0
18,18,1750558967464249,-48,128,3C:6A:D2:84:AD:40,0,19392,2ae0,0,43455c0,-48.0
19,19,1750558967520277,-48,8,3C:6A:D2:84:AD:40,0,48912,2ae0,0,43455c0,-48.0
20,20,1750558967521656,-48,8,3C:6A:D2:84:AD:40,0,48928,2ae0,0,43455c0,-48.0
21,21,1750558967566618,-47,128,3C:6A:D2:84:AD:40,0,19408,2ae0,0,43455c0,-47.666666666666664
22,22,1750558967620598,-47,8,3C:6A:D2:84:AD:40,0,48944,2ae0,0,43455c0,-47.333333333333336
23,23,1750558967669025,-47,128,3C:6A:D2:84:AD:40,0,19424,2ae0,0,43455c0,-47.0
24,24,1750558967771412,-47,128,3C:6A:D2:84:AD:40,0,19440,2ae0,0,43455c0,-47.0
25,25,1750558967773367,-47,8,3C:6A:D2:84:AD:40,0,48960,2ae0,0,43455c0,-47.0
26,26,1750558967873804,-47,128,3C:6A:D2:84:AD:40,0,19456,2ae0,0,43455c0,-47.0
27,27,1750558967976256,-47,128,3C:6A:D2:84:AD:40,0,19472,2ae0,0,43455c0,-47.0
28,28,1750558968078653,-47,128,3C:6A:D2:84:AD:40,0,19488,2ae0,0,43455c0,-47.0
29,29,1750558968181084,-47,128,3C:6A:D2:84:AD:40,0,19504,2ae0,0,43455c0,-47.0
30,30,1750558968286206,-47,128,3C:6A:D2:84:AD:40,0,19520,2ae0,0,43455c0,-47.0
31,31,1750558968385858,-47,128,3C:6A:D2:84:AD:40,0,19536,2ae0,0,43455c0,-47.0
32,32,1750558968448165,-47,8,3C:6A:D2:84:AD:40,0,48976,2ae0,0,43455c0,-47.0
33,33,1750558968487406,-47,128,3C:6A:D2:84:AD:40,0,19552,2ae0,0,43455c0,-47.0
34,34,1750558968590717,-47,128,3C:6A:D2:84:AD:40,0,19568,2ae0,0,43455c0,-47.0
35,35,1750558968693087,-47,128,3C:6A:D2:84:AD:40,0,19584,2ae0,0,43455c0,-47.0
36,36,1750558968795500,-47,128,3C:6A:D2:84:AD:40,0,19600,2ae0,0,43455c0,-47.0
37,37,1750558968804041,-47,8,3C:6A:D2:84:AD:40,0,48992,2ae0,0,43455c0,-47.0
38,38,1750558968897908,-47,128,3C:6A:D2:84:AD:40,0,19616,2ae0,0,43455c0,-47.0
39,39,1750558969000248,-47,128,3C:6A:D2:84:AD:40,0,19632,2ae0,0,43455c0,-47.0
40,40,1750558969102663,-47,128,3C:6A:D2:84:AD:40,0,19648,2ae0,0,43455c0,-47.0
41,41,1750558969151875,-47,8,3C:6A:D2:84:AD:40,0,49008,2ae0,0,43455c0,-47.0
