,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
0,0,1750559147894812,-52,128,3C:6A:D2:84:AD:40,0,48032,2ae0,0,43455c0,
1,1,1750559147996979,-53,128,3C:6A:D2:84:AD:40,0,48048,2ae0,0,43455c0,
2,2,1750559148099359,-51,128,3C:6A:D2:84:AD:40,0,48064,2ae0,0,43455c0,-52.0
3,3,1750559148201762,-54,128,3C:6A:D2:84:AD:40,0,48080,2ae0,0,43455c0,-52.666666666666664
4,4,1750559148303217,-52,128,3C:6A:D2:84:AD:40,0,48096,2ae0,0,43455c0,-52.333333333333336
5,5,1750559148406569,-50,128,3C:6A:D2:84:AD:40,0,48112,2ae0,0,43455c0,-52.0
6,6,1750559148508982,-49,128,3C:6A:D2:84:AD:40,0,48128,2ae0,0,43455c0,-50.333333333333336
7,7,1750559148611347,-50,128,3C:6A:D2:84:AD:40,0,48144,2ae0,0,43455c0,-49.666666666666664
8,8,1750559148714041,-50,128,3C:6A:D2:84:AD:40,0,48160,2ae0,0,43455c0,-49.666666666666664
9,9,1750559148816405,-51,128,3C:6A:D2:84:AD:40,0,48176,2ae0,0,43455c0,-50.333333333333336
10,10,1750559148917661,-53,128,3C:6A:D2:84:AD:40,0,48192,2ae0,0,43455c0,-51.333333333333336
11,11,1750559149020169,-51,128,3C:6A:D2:84:AD:40,0,48208,2ae0,0,43455c0,-51.666666666666664
12,12,1750559149123574,-54,128,3C:6A:D2:84:AD:40,0,48224,2ae0,0,43455c0,-52.666666666666664
13,13,1750559149212993,-51,8,3C:6A:D2:84:AD:40,0,58864,2ae0,0,43455c0,-52.0
14,14,1750559149225033,-51,128,3C:6A:D2:84:AD:40,0,48240,2ae0,0,43455c0,-52.0
15,15,1750559149318147,-51,8,3C:6A:D2:84:AD:40,0,58880,2ae0,0,43455c0,-51.0
16,16,1750559149328415,-50,128,3C:6A:D2:84:AD:40,0,48256,2ae0,0,43455c0,-50.666666666666664
17,17,1750559149420292,-52,8,3C:6A:D2:84:AD:40,0,58896,2ae0,0,43455c0,-51.0
18,18,1750559149431305,-52,128,3C:6A:D2:84:AD:40,0,48272,2ae0,0,43455c0,-51.333333333333336
19,19,1750559149533541,-52,128,3C:6A:D2:84:AD:40,0,48288,2ae0,0,43455c0,-52.0
20,20,1750559149635565,-52,128,3C:6A:D2:84:AD:40,0,48304,2ae0,0,43455c0,-52.0
21,21,1750559149738156,-56,128,3C:6A:D2:84:AD:40,0,48320,2ae0,0,43455c0,-53.333333333333336
22,22,1750559149839596,-54,128,3C:6A:D2:84:AD:40,0,48336,2ae0,0,43455c0,-54.0
23,23,1750559149944486,-52,128,3C:6A:D2:84:AD:40,0,48352,2ae0,0,43455c0,-54.0
24,24,1750559150044678,-55,128,3C:6A:D2:84:AD:40,0,48368,2ae0,0,43455c0,-53.666666666666664
25,25,1750559150147611,-54,128,3C:6A:D2:84:AD:40,0,48384,2ae0,0,43455c0,-53.666666666666664
26,26,1750559150250031,-53,128,3C:6A:D2:84:AD:40,0,48400,2ae0,0,43455c0,-54.0
27,27,1750559150353051,-53,128,3C:6A:D2:84:AD:40,0,48416,2ae0,0,43455c0,-53.333333333333336
28,28,1750559150454806,-54,128,3C:6A:D2:84:AD:40,0,48432,2ae0,0,43455c0,-53.333333333333336
29,29,1750559150557262,-53,128,3C:6A:D2:84:AD:40,0,48448,2ae0,0,43455c0,-53.333333333333336
30,30,1750559150659630,-53,128,3C:6A:D2:84:AD:40,0,48464,2ae0,0,43455c0,-53.333333333333336
31,31,1750559150737471,-53,80,3C:6A:D2:84:AD:40,0,48480,2ae0,0,43455c0,-53.0
32,32,1750559150762426,-53,128,3C:6A:D2:84:AD:40,0,48512,2ae0,0,43455c0,-53.0
33,33,1750559150863737,-54,128,3C:6A:D2:84:AD:40,0,48528,2ae0,0,43455c0,-53.333333333333336
34,34,1750559150965744,-54,128,3C:6A:D2:84:AD:40,0,48544,2ae0,0,43455c0,-53.666666666666664
